sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
305,36,305,0,233,28,2,118,387,2,1,0,0,0,1,2,1,0,3,775,0,778,0
306,36,306,0,180,24,0,69,261,0,0,0,0,0,1,2,0,0,2,537,0,539,0
307,36,307,0,196,27,1,84,270,0,0,0,0,3,2,1,1,1,5,586,0,591,0
307,36,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,36,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,36,308,0,320,43,0,90,442,0,2,0,1,1,1,1,3,1,9,905,0,914,0
309,36,309,0,314,14,0,359,237,2,0,0,1,0,2,1,0,1,3,931,0,934,0
310,36,310,0,140,10,1,301,226,0,0,0,0,0,2,1,0,0,0,681,0,681,0
311,36,311,0,344,23,1,197,254,1,0,0,0,1,0,1,0,0,4,822,0,826,0
312,36,312,0,297,16,1,187,249,0,0,0,0,1,0,0,0,0,3,751,0,754,0
313,36,313,0,409,22,1,217,332,1,0,0,0,0,3,1,1,3,7,990,0,997,0
314,36,314,0,425,19,1,60,270,1,0,0,0,0,0,0,0,1,8,777,0,785,0
315,36,315,0,248,21,0,87,358,1,0,1,0,0,3,0,1,2,1,722,0,723,0
316,36,316,0,228,58,2,127,238,0,0,0,0,0,2,2,1,1,3,659,0,662,0
317,36,317,0,290,20,2,366,216,0,1,0,1,0,1,3,0,1,5,901,0,906,0
318,36,318,0,287,4,2,282,195,0,0,1,0,0,5,3,1,0,8,780,0,788,0
319,36,319,0,297,26,1,182,366,1,0,1,0,1,1,2,0,0,5,878,0,883,0
320,36,320,0,184,13,1,165,114,0,0,0,0,0,1,0,1,0,1,479,0,480,0
321,36,321,0,296,11,1,238,151,0,0,0,0,1,3,1,0,0,3,702,0,705,0
322,36,322,0,69426,5667,339,61785,83909,234,221,68,103,91,549,363,193,210,0,223158,0,0,0
323,36,323,0,70694,5783,342,62809,84917,235,221,70,125,95,551,390,207,212,0,226651,454,0,0
