sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
137,106,137,0,38,275,186,2,426,0,1,3,1,0,0,1,1,2,5,1,0,0,2,942,0,944,0
138,106,138,0,36,242,126,4,363,2,0,3,0,1,0,1,1,0,3,1,0,0,1,783,0,784,0
139,106,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,106,139,0,38,226,123,5,361,6,0,1,1,0,0,2,0,1,3,1,0,0,1,768,0,769,0
140,106,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,106,140,0,18,109,66,0,168,0,0,0,0,0,0,2,1,0,0,1,0,2,4,367,0,371,0
141,106,141,0,33,274,173,1,414,3,0,3,2,0,0,1,2,2,6,2,0,2,2,918,0,920,0
142,106,142,0,31,251,102,0,243,1,1,2,0,0,0,2,0,1,3,3,0,0,1,640,0,641,0
143,106,143,0,37,400,111,1,297,3,0,0,1,0,0,1,1,0,2,2,0,1,2,857,0,859,0
144,106,144,0,63,345,165,1,315,2,1,1,0,0,2,0,1,1,1,3,0,0,3,901,0,904,0
145,106,145,0,31,315,114,0,343,1,0,0,0,0,0,1,0,1,1,2,1,3,10,813,0,823,0
146,106,146,0,49,263,219,2,263,2,0,0,2,1,0,4,1,2,1,5,0,3,2,817,0,819,0
147,106,147,0,27,242,246,1,315,2,0,1,0,0,0,1,2,0,2,3,0,0,5,842,0,847,0
148,106,148,0,20,195,93,1,196,38,0,0,1,0,2,2,2,1,3,3,0,1,2,558,0,560,0
149,106,149,0,34,242,170,3,232,48,3,1,0,1,0,1,6,3,2,3,0,7,3,756,0,759,0
150,106,150,0,22,221,150,3,223,28,1,0,2,0,1,0,1,0,0,4,0,1,0,657,0,657,0
151,106,151,0,29,237,97,3,213,25,1,2,0,0,0,0,0,2,2,0,0,2,2,613,0,615,0
152,106,152,0,16,146,235,1,215,2,1,0,0,1,0,0,0,1,3,1,0,1,0,623,0,623,0
153,106,153,0,21,246,241,5,191,21,2,0,1,1,1,1,0,2,1,1,0,0,5,735,0,740,0
154,106,154,0,33,241,293,6,328,0,1,0,3,0,1,1,3,3,3,0,2,1,5,919,0,924,0
