ac_code,ps_serial_number,ps_code,candidate_serial_number,candidate_votes
170,42,42,10,1
170,42,42,11,0
170,42,42,12,3
170,42,42,13,1
170,42,42,14,2
170,42,42,0,1
170,43,43,1,41
170,43,43,2,527
170,43,43,3,13
170,43,43,4,6
170,43,43,5,0
170,43,43,6,144
170,43,43,7,0
170,43,43,8,0
170,43,43,9,0
170,43,43,10,1
170,43,43,11,0
170,43,43,12,1
170,43,43,13,1
170,43,43,14,0
170,43,43,0,2
170,44,44,1,116
170,44,44,2,152
170,44,44,3,6
170,44,44,4,2
170,44,44,5,1
170,44,44,6,112
170,44,44,7,1
170,44,44,8,0
170,44,44,9,0
170,44,44,10,1
170,44,44,11,0
170,44,44,12,1
170,44,44,13,0
170,44,44,14,0
170,44,44,0,0
170,45,45,1,104
170,45,45,2,232
170,45,45,3,12
170,45,45,4,1
170,45,45,5,0
170,45,45,6,133
170,45,45,7,0
170,45,45,8,0
170,45,45,9,0
170,45,45,10,0
170,45,45,11,0
170,45,45,12,0
170,45,45,13,0
170,45,45,14,0
170,45,45,0,2
170,46,46,1,156
170,46,46,2,282
170,46,46,3,20
170,46,46,4,10
170,46,46,5,0
170,46,46,6,195
170,46,46,7,1
170,46,46,8,1
170,46,46,9,1
170,46,46,10,0
170,46,46,11,1
170,46,46,12,1
170,46,46,13,0
170,46,46,14,2
170,46,46,0,1
170,47,47,1,247
170,47,47,2,350
170,47,47,3,27
170,47,47,4,1
170,47,47,5,3
170,47,47,6,203
170,47,47,7,0
170,47,47,8,1
170,47,47,9,0
170,47,47,10,1
170,47,47,11,1
170,47,47,12,1
170,47,47,13,0
170,47,47,14,1
170,47,47,0,2
170,48,48,1,131
170,48,48,2,131
170,48,48,3,14
170,48,48,4,1
170,48,48,5,0
170,48,48,6,87
170,48,48,7,1
170,48,48,8,0
170,48,48,9,0
170,48,48,10,0
170,48,48,11,0
170,48,48,12,0
170,48,48,13,1
170,48,48,14,1
170,48,48,0,0
170,49,49,1,346
170,49,49,2,302
170,49,49,3,20
170,49,49,4,20
170,49,49,5,2
170,49,49,6,258
170,49,49,7,0
170,49,49,8,0
170,49,49,9,0
170,49,49,10,0
170,49,49,11,3
170,49,49,12,0
170,49,49,13,1
170,49,49,14,3
170,49,49,0,2
170,50,50,1,135
170,50,50,2,252
170,50,50,3,10
170,50,50,4,1
170,50,50,5,0
170,50,50,6,107
170,50,50,7,0
170,50,50,8,0
170,50,50,9,0
170,50,50,10,0
170,50,50,11,0
170,50,50,12,0
170,50,50,13,0
170,50,50,14,2
170,50,50,0,1
170,51,51,1,186
170,51,51,2,301
170,51,51,3,14
170,51,51,4,3
170,51,51,5,1
170,51,51,6,217
170,51,51,7,2
170,51,51,8,0
170,51,51,9,0
170,51,51,10,1
170,51,51,11,0
170,51,51,12,1
170,51,51,13,0
170,51,51,14,4
170,51,51,0,6
170,52,52,1,0
170,52,52,2,0
170,52,52,3,0
170,52,52,4,0
170,52,52,5,0
170,52,52,6,0
170,52,52,7,0
170,52,52,8,0
170,52,52,9,0
170,52,52,10,0
170,52,52,11,0
170,52,52,12,0
170,52,52,13,0
170,52,52,14,0
170,52,52,0,0
170,52,52,1,209
170,52,52,2,195
170,52,52,3,21
170,52,52,4,0
170,52,52,5,1
170,52,52,6,162
170,52,52,7,0
170,52,52,8,0
170,52,52,9,0
170,52,52,10,1
170,52,52,11,1
170,52,52,12,0
170,52,52,13,1
170,52,52,14,3
170,52,52,0,2
170,53,53,1,0
170,53,53,2,0
170,53,53,3,0
170,53,53,4,0
170,53,53,5,0
170,53,53,6,0
170,53,53,7,0
170,53,53,8,0
170,53,53,9,0
170,53,53,10,0
170,53,53,11,0
170,53,53,12,0
170,53,53,13,0
170,53,53,14,0
170,53,53,0,0
170,53,53,1,167
170,53,53,2,252
170,53,53,3,10
170,53,53,4,0
170,53,53,5,0
170,53,53,6,181
170,53,53,7,0
170,53,53,8,0
170,53,53,9,0
170,53,53,10,0
170,53,53,11,0
170,53,53,12,1
170,53,53,13,0
170,53,53,14,1
170,53,53,0,1
170,54,54,1,143
170,54,54,2,280
170,54,54,3,21
170,54,54,4,5
170,54,54,5,1
170,54,54,6,173
170,54,54,7,1
170,54,54,8,0
170,54,54,9,1
170,54,54,10,0
170,54,54,11,0
170,54,54,12,0
170,54,54,13,2
170,54,54,14,2
170,54,54,0,3
170,55,55,1,113
170,55,55,2,256
170,55,55,3,5
170,55,55,4,0
170,55,55,5,1
170,55,55,6,191
170,55,55,7,0
170,55,55,8,0
170,55,55,9,0
170,55,55,10,0
170,55,55,11,1
170,55,55,12,0
170,55,55,13,1
170,55,55,14,4
170,55,55,0,2
170,56,56,1,212
170,56,56,2,163
170,56,56,3,9
170,56,56,4,1
170,56,56,5,0
170,56,56,6,115
170,56,56,7,0
170,56,56,8,0
170,56,56,9,0
170,56,56,10,0
170,56,56,11,0
170,56,56,12,1
170,56,56,13,0
170,56,56,14,2
170,56,56,0,2
170,57,57,1,259
170,57,57,2,322
170,57,57,3,22
170,57,57,4,4
170,57,57,5,0
170,57,57,6,187
170,57,57,7,1
170,57,57,8,0
170,57,57,9,0
170,57,57,10,1
170,57,57,11,0
170,57,57,12,2
170,57,57,13,0
170,57,57,14,2
170,57,57,0,1
170,58,58,1,166
170,58,58,2,358
170,58,58,3,11
170,58,58,4,2
170,58,58,5,0
170,58,58,6,253
170,58,58,7,1
170,58,58,8,0
170,58,58,9,1
170,58,58,10,1
170,58,58,11,0
170,58,58,12,2
170,58,58,13,0
170,58,58,14,3
170,58,58,0,2
170,59,59,1,170
170,59,59,2,71
170,59,59,3,14
170,59,59,4,0
170,59,59,5,1
170,59,59,6,87
170,59,59,7,0
170,59,59,8,0
170,59,59,9,0
170,59,59,10,0
170,59,59,11,0
170,59,59,12,0
170,59,59,13,0
170,59,59,14,2
170,59,59,0,1
170,60,60,1,226
170,60,60,2,288
170,60,60,3,28
170,60,60,4,13
170,60,60,5,0
170,60,60,6,341
170,60,60,7,3
170,60,60,8,0
170,60,60,9,0
170,60,60,10,2
170,60,60,11,1
170,60,60,12,2
170,60,60,13,1
170,60,60,14,9
170,60,60,0,0
170,61,61,1,87
170,61,61,2,450
170,61,61,3,18
170,61,61,4,27
170,61,61,5,1
170,61,61,6,208
170,61,61,7,0
170,61,61,8,0
170,61,61,9,0
170,61,61,10,0
170,61,61,11,0
170,61,61,12,0
170,61,61,13,1
170,61,61,14,1
170,61,61,0,3
170,62,62,1,133
170,62,62,2,171
170,62,62,3,22
170,62,62,4,21
170,62,62,5,0
170,62,62,6,246
170,62,62,7,0
170,62,62,8,0
170,62,62,9,0
170,62,62,10,1
170,62,62,11,0
170,62,62,12,0
170,62,62,13,0
170,62,62,14,1
170,62,62,0,2
170,63,63,1,14
170,63,63,2,142
170,63,63,3,4
170,63,63,4,3
170,63,63,5,1
170,63,63,6,58
170,63,63,7,0
170,63,63,8,0
170,63,63,9,0
170,63,63,10,0
170,63,63,11,0
170,63,63,12,0
170,63,63,13,0
170,63,63,14,1
170,63,63,0,1
170,64,64,1,184
170,64,64,2,251
170,64,64,3,20
170,64,64,4,8
170,64,64,5,0
170,64,64,6,252
170,64,64,7,2
170,64,64,8,1
170,64,64,9,0
170,64,64,10,0
170,64,64,11,0
170,64,64,12,1
170,64,64,13,0
170,64,64,14,1
170,64,64,0,3
170,65,65,1,218
170,65,65,2,268
170,65,65,3,11
170,65,65,4,10
170,65,65,5,1
170,65,65,6,258
170,65,65,7,0
170,65,65,8,0
170,65,65,9,0
170,65,65,10,1
170,65,65,11,2
170,65,65,12,1
170,65,65,13,0
170,65,65,14,1
170,65,65,0,3
170,66,66,1,79
170,66,66,2,118
170,66,66,3,10
170,66,66,4,13
170,66,66,5,0
170,66,66,6,134
170,66,66,7,0
170,66,66,8,0
170,66,66,9,0
170,66,66,10,0
170,66,66,11,0
170,66,66,12,2
170,66,66,13,1
170,66,66,14,4
170,66,66,0,0
170,67,67,1,19
170,67,67,2,133
170,67,67,3,4
170,67,67,4,261
170,67,67,5,0
170,67,67,6,191
170,67,67,7,0
170,67,67,8,1
170,67,67,9,0
170,67,67,10,0
170,67,67,11,2
170,67,67,12,1
170,67,67,13,1
170,67,67,14,0
170,67,67,0,2
170,68,68,1,87
170,68,68,2,213
170,68,68,3,5
170,68,68,4,44
170,68,68,5,0
170,68,68,6,255
170,68,68,7,1
170,68,68,8,1
170,68,68,9,0
170,68,68,10,0
170,68,68,11,0
170,68,68,12,0
170,68,68,13,0
170,68,68,14,0
170,68,68,0,4
170,69,69,1,155
170,69,69,2,263
170,69,69,3,8
170,69,69,4,18
170,69,69,5,2
170,69,69,6,327
170,69,69,7,1
170,69,69,8,0
170,69,69,9,0
170,69,69,10,2
170,69,69,11,0
170,69,69,12,1
170,69,69,13,1
170,69,69,14,3
170,69,69,0,4
170,70,70,1,289
170,70,70,2,200
170,70,70,3,13
170,70,70,4,5
170,70,70,5,0
170,70,70,6,185
170,70,70,7,0
170,70,70,8,1
170,70,70,9,1
170,70,70,10,0
170,70,70,11,0
170,70,70,12,0
170,70,70,13,0
170,70,70,14,1
170,70,70,0,1
170,71,71,1,55
170,71,71,2,257
170,71,71,3,9
170,71,71,4,60
170,71,71,5,2
170,71,71,6,202
170,71,71,7,1
170,71,71,8,0
170,71,71,9,0
170,71,71,10,3
170,71,71,11,2
170,71,71,12,0
170,71,71,13,0
170,71,71,14,0
170,71,71,0,1
170,72,72,1,131
170,72,72,2,280
170,72,72,3,9
170,72,72,4,3
170,72,72,5,0
170,72,72,6,100
170,72,72,7,0
170,72,72,8,1
170,72,72,9,0
170,72,72,10,0
170,72,72,11,0
170,72,72,12,0
170,72,72,13,1
170,72,72,14,1
170,72,72,0,1
170,73,73,1,239
170,73,73,2,172
170,73,73,3,16
170,73,73,4,4
170,73,73,5,0
170,73,73,6,190
170,73,73,7,2
170,73,73,8,0
170,73,73,9,0
170,73,73,10,0
170,73,73,11,1
170,73,73,12,1
170,73,73,13,0
170,73,73,14,0
170,73,73,0,1
170,74,74,1,234
170,74,74,2,232
170,74,74,3,16
170,74,74,4,7
170,74,74,5,0
170,74,74,6,244
170,74,74,7,2
170,74,74,8,0
170,74,74,9,0
170,74,74,10,1
170,74,74,11,0
170,74,74,12,0
170,74,74,13,1
170,74,74,14,4
170,74,74,0,5
170,75,75,1,214
170,75,75,2,221
170,75,75,3,21
170,75,75,4,5
170,75,75,5,1
170,75,75,6,175
170,75,75,7,0
170,75,75,8,0
170,75,75,9,0
170,75,75,10,1
170,75,75,11,1
170,75,75,12,2
170,75,75,13,1
170,75,75,14,3
170,75,75,0,1
170,76,76,1,99
170,76,76,2,132
170,76,76,3,11
170,76,76,4,1
170,76,76,5,0
170,76,76,6,114
170,76,76,7,1
170,76,76,8,0
170,76,76,9,0
170,76,76,10,1
170,76,76,11,0
170,76,76,12,1
170,76,76,13,2
170,76,76,14,1
170,76,76,0,2
170,77,77,1,188
170,77,77,2,302
170,77,77,3,28
170,77,77,4,23
170,77,77,5,1
170,77,77,6,226
170,77,77,7,0
170,77,77,8,0
170,77,77,9,1
170,77,77,10,0
170,77,77,11,1
170,77,77,12,0
170,77,77,13,1
170,77,77,14,3
170,77,77,0,2
170,78,78,1,130
170,78,78,2,188
170,78,78,3,24
170,78,78,4,2
170,78,78,5,0
170,78,78,6,203
170,78,78,7,1
170,78,78,8,0
170,78,78,9,0
170,78,78,10,1
170,78,78,11,0
170,78,78,12,1
170,78,78,13,2
170,78,78,14,3
170,78,78,0,2
170,79,79,1,106
170,79,79,2,292
170,79,79,3,38
170,79,79,4,15
170,79,79,5,1
170,79,79,6,151
170,79,79,7,1
170,79,79,8,0
170,79,79,9,0
170,79,79,10,0
170,79,79,11,0
170,79,79,12,2
170,79,79,13,0
170,79,79,14,7
170,79,79,0,2
170,80,80,1,226
170,80,80,2,216
170,80,80,3,10
170,80,80,4,0
170,80,80,5,2
170,80,80,6,194
170,80,80,7,4
170,80,80,8,0
170,80,80,9,0
170,80,80,10,1
170,80,80,11,0
170,80,80,12,2
170,80,80,13,0
170,80,80,14,4
170,80,80,0,5
170,81,81,1,228
170,81,81,2,327
170,81,81,3,23
170,81,81,4,3
170,81,81,5,0
170,81,81,6,212
170,81,81,7,2
170,81,81,8,0
170,81,81,9,1
170,81,81,10,1
170,81,81,11,1
170,81,81,12,2
170,81,81,13,3
170,81,81,14,6
170,81,81,0,3
170,82,82,1,121
170,82,82,2,392
170,82,82,3,30
170,82,82,4,2
170,82,82,5,0
170,82,82,6,268
170,82,82,7,1
170,82,82,8,1
170,82,82,9,0
170,82,82,10,2
170,82,82,11,2
170,82,82,12,4
170,82,82,13,2
170,82,82,14,4
170,82,82,0,3
170,83,83,1,117
170,83,83,2,215
170,83,83,3,27
170,83,83,4,2
170,83,83,5,0
170,83,83,6,212
170,83,83,7,0
170,83,83,8,0
170,83,83,9,0
170,83,83,10,0
170,83,83,11,3
170,83,83,12,0
170,83,83,13,2
170,83,83,14,5
170,83,83,0,2
170,84,84,1,100
170,84,84,2,150
170,84,84,3,14
170,84,84,4,2
170,84,84,5,1
170,84,84,6,163
170,84,84,7,0
170,84,84,8,0
170,84,84,9,1
170,84,84,10,1
170,84,84,11,0
170,84,84,12,0
170,84,84,13,1
170,84,84,14,3
170,84,84,0,3
170,85,85,1,188
170,85,85,2,400
170,85,85,3,14
170,85,85,4,2
170,85,85,5,2
170,85,85,6,210
170,85,85,7,2
170,85,85,8,1
170,85,85,9,0
170,85,85,10,1
170,85,85,11,0
170,85,85,12,2
