sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,total_valid_votes,rejected_votes,total,tendered_votes
69,150,69,0,239,0,29,0,3,213,0,0,0,207,1,2,0,1,2,0,3,0,1,2,703,0,703,0,0,0,0,0,69,0
70,150,70,0,262,0,43,3,1,321,1,0,4,225,2,0,0,0,0,2,3,0,0,5,872,0,872,0,0,0,0,0,70,0
71,150,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,150,71,0,247,0,23,0,1,206,1,1,2,319,4,3,1,1,0,2,4,0,0,0,815,0,815,0,0,0,0,0,71,0
72,150,72,0,197,3,10,0,2,150,2,0,3,106,1,0,0,0,1,0,2,0,0,0,477,0,477,0,0,0,0,0,72,0
72,150,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,150,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,150,73,0,263,2,28,0,4,395,1,0,2,250,1,1,0,4,1,1,1,1,1,3,959,0,959,0,0,0,0,0,73,0
74,150,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,150,74,0,306,1,23,2,2,312,1,1,1,217,2,2,0,0,1,3,5,0,0,6,885,0,885,0,0,0,0,0,74,0
75,150,75,0,129,1,1,1,3,166,0,0,1,62,0,0,0,1,0,1,1,0,0,1,368,0,368,0,0,0,0,0,75,0
75,150,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,150,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,150,76,0,345,1,32,0,2,227,2,2,3,238,2,3,0,0,0,3,2,0,0,1,863,0,863,0,0,0,0,0,76,0
77,150,77,0,163,0,9,0,0,91,1,0,0,233,0,1,0,1,2,0,1,0,0,0,502,0,502,0,0,0,0,0,77,0
78,150,78,0,335,0,16,0,6,232,0,0,2,51,0,1,0,0,0,5,1,0,0,1,650,0,650,0,0,0,0,0,78,0
79,150,79,0,525,1,22,1,4,342,1,0,1,60,1,0,0,0,0,11,2,0,1,1,973,0,973,0,0,0,0,0,79,0
80,150,80,0,222,4,41,1,3,182,0,0,1,214,0,2,1,0,0,5,2,0,0,3,681,0,681,0,0,0,0,0,80,0
81,150,81,0,223,2,24,0,0,184,0,0,1,130,0,0,0,0,0,0,0,0,0,0,564,0,564,0,0,0,0,0,81,0
