sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
92,18,92,0,0,262,9,72,188,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,536,0,1,0
93,18,93,0,1,314,18,44,160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,540,0,2,0
94,18,94,0,1,372,12,65,182,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,634,0,1,0
95,18,95,0,0,209,22,46,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,529,0,1,0
96,18,96,0,1,203,8,60,168,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,445,0,1,0
97,18,97,0,0,169,9,63,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,340,0,6,0
98,18,98,0,2,226,17,75,205,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,528,0,6,0
99,18,99,0,1,352,9,16,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,2,0
100,18,100,0,1,148,6,67,180,1,0,1,1,0,1,1,0,0,0,2,1,1,0,0,1,0,1,0,413,0,1,0
101,18,101,0,0,145,11,68,138,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,366,0,5,0
102,18,102,0,0,318,16,73,166,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,576,0,4,0
103,18,103,0,1,265,11,98,305,1,1,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,690,0,3,0
104,18,104,0,0,331,3,31,176,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,544,0,1,0
105,18,105,0,0,232,13,88,209,0,0,0,0,0,3,0,0,1,1,1,1,2,0,0,0,0,0,0,551,0,2,0
106,18,106,0,0,504,4,45,378,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0
107,18,107,0,0,337,9,86,314,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,754,0,1,0
108,18,108,0,2,419,13,66,255,3,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,764,0,4,0
109,18,109,0,0,584,9,31,199,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,826,0,9,0
110,18,110,0,2,224,13,47,219,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,510,0,0,0
